"address";"lon";"lat"
"Amsterdam , Inloop , AFAS Live";4,9445428;52,3119125
"Maasbree , W&S , ";6,0503002;51,3584896
"Lopik , M.A.A. Schakelplein 6";4,9444828;51,9729536
"Bussum , Burgemeester de Bordesstraat 80";5,1617667;52,2704079
"Appingedam , Opwierderweg 65";6,8773082;53,3162041
"  Bosschenhoofd , BIA , Bredasebaan 1";4,5475781;51,5544617
"Geleen , Herenhof";5,8302582;50,971369
"Amsterdam , Prikteams";4,814091;52,3708438
"Test Meppel , Eekhorstweg";6,1952407;52,7133408
"Leusden , De Korf , De Smidse 1";5,428779;52,129254
"Oudewater , Zalencentrum kerk , Westsingel 2";4,8685518;52,0236686
"Montfoort , Sporthal Hofland , Bovenkerkweg";4,95464;52,0405182
"Arcen ,";6,1809478;51,4763636
"Zandvoort , Tolweg 10";4,5377788;52,3680303
"Test A L Rotterdam , Albert Plesmanweg 111";4,4414128;51,8722479
"Appelscha ,  , Nijesteegde 49";6,3421674;52,9571534
"Warffum , Oostervalge 52a";6,5617577;53,3948947
