PC4,OBJECTID,Aantal_adr,Aantal_mul,SHAPE_Leng,SHAPE_Area,GM_NAAM,A_VAC,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,WONING,WONVOOR45,WON_4564,WON_6574,WON_7584,WON_8594,WON_9504,WON_0514,WON_1524,WON_MRGEZ,P_KOOPWON,P_HUURWON,WON_HCORP,WON_NBEW,WOZWONING,UITKMINAOW,OAD,STED,ZORGINSTELLING,INW_ZORG,P_VAC,P_ZORG,P_65PL,P_4564,P_2544,P_1524,P_VROUW,P_UITKMINAOW,pred,diffLM,diffLM_inv,Id,pc4_z,pc4_bins
4849,1662,1394,1,0.294228144682368,0.00158810054966,Oosterhout,812,3000,1505,1490,555,300,780,860,505,90,10,0,1225,300,430,55,440,2.4,1195,135,285,170,95,130,100,60,225,55,90,10,70,20,326,135,303,5,1,45,27.0666666666667,1.5,16.8333333333333,28.6666666666667,26,10,49.6666666666667,4.5,24.563011955636,-2.5,2.5,110,-0.896613519657296,3
4851,1663,2347,1,0.144345877090258,0.000607023683517,Breda,1566,5025,2460,2570,860,540,800,1465,1360,90,10,0,2110,630,685,130,665,2.3,2110,190,470,580,270,160,270,70,100,330,70,30,370,65,458,200,560,4,1,180,31.1641791044776,3.58208955223881,27.0646766169154,29.1542288557214,15.9203980099503,10.7462686567164,51.1442786069652,3.98009950248756,31.7705512542496,0.61,-0.61,111,0.145944544607723,5
4854,1664,3587,1,0.218878932681621,0.00155983510424,Breda,2446,8330,4160,4165,1430,1060,1435,2675,1735,90,10,0,3280,765,1135,190,1190,2.5,3325,165,220,530,485,660,635,495,135,365,80,20,690,105,435,395,884,4,1,150,29.3637454981993,1.80072028811525,20.828331332533,32.1128451380552,17.2268907563025,12.7250900360144,50,4.74189675870348,27.5403845986578,-1.82,1.82,112,-0.66865870174726,4
4855,1665,496,1,0.125076090426888,0.000710446648772,Alphen-Chaam,294,1050,535,520,185,90,230,340,210,90,10,0,435,100,175,20,145,2.4,460,50,50,65,80,55,70,40,55,20,80,20,35,35,382,45,111,5,0,0,28,0,20,32.3809523809524,21.9047619047619,8.57142857142857,49.5238095238095,4.28571428571429,28.2392202646291,0.24,-0.24,113,0.0219103054507917,5
4856,1666,169,1,0.215065347925408,0.001231790425238,Alphen-Chaam,107,340,180,160,35,45,70,110,80,80,20,,140,35,60,5,45,2.4,140,40,30,30,10,5,10,10,5,5,80,20,,15,461,15,28,5,0,0,31.4705882352941,0,23.5294117647059,32.3529411764706,20.5882352941176,13.2352941176471,47.0588235294118,4.41176470588235,28.3568095662952,-3.11,3.11,114,-1.10110240042953,3
4858,1667,143,1,0.168784332638538,0.00086070888406,Alphen-Chaam,95,315,165,150,35,40,40,120,80,90,10,,130,30,50,10,40,2.4,130,45,25,25,10,10,10,,,,80,20,,10,563,15,84,5,0,0,30.1587301587302,0,25.3968253968254,38.0952380952381,12.6984126984127,12.6984126984127,47.6190476190476,4.76190476190476,31.797403248653,1.64,-1.64,115,0.491229048206749,5
4859,1668,26,1,0.071260500418659,0.000248390256701,Alphen-Chaam,6,45,30,20,5,10,5,20,0,90,,,20,10,,,5,2.4,20,,5,,,,,,,,80,,,,509,,15,5,0,0,13.3333333333333,0,0,44.4444444444444,11.1111111111111,22.2222222222222,44.4444444444444,,14.1486975330031,0.82,-0.82,116,0.216342356021117,5
4861,1669,2329,1,0.297510709060669,0.004022235854892,Alphen-Chaam,1394,4200,2100,2100,580,465,790,1280,1085,90,10,0,1760,470,660,90,535,2.4,1825,225,220,395,260,255,120,295,60,240,70,30,275,120,331,210,326,5,1,60,33.1904761904762,1.42857142857143,25.8333333333333,30.4761904761905,18.8095238095238,11.0714285714286,50,5,30.6564473700745,-2.53,2.53,117,-0.906670349859209,3
4871,1670,7684,1,0.300666524371869,0.00164088178152,Etten-Leur,4214,16930,8450,8480,3250,1875,4285,4635,2885,80,10,10,6875,1850,2105,495,2405,2.4,6955,165,345,1670,60,1045,1810,1525,340,1170,70,30,1565,145,282,1125,1659,2,1,95,24.8907265209687,0.561134081512109,17.0407560543414,27.3774365032487,25.3101004134672,11.0750147666864,50.0886001181335,6.64500886001181,24.1106191186032,-0.78,0.78,118,-0.320021921414263,4
4872,1671,4742,1,0.150392454006594,0.000545323864794,Etten-Leur,2357,8850,4340,4515,1330,945,2125,2640,1815,80,10,10,4050,1445,1195,360,1035,2.1,4135,115,865,155,1140,1310,150,360,35,940,60,40,1560,85,235,780,2084,2,1,105,26.6327683615819,1.1864406779661,20.5084745762712,29.8305084745763,24.0112994350283,10.6779661016949,51.0169491525424,8.8135593220339,26.8554052994464,0.22,-0.22,119,0.0152057519828494,5
